problem_type,x,y,question,solution
bitwise_xor,446,17,What is 446 XOR 17?,431
multiplication,790,163,What is 790 times 163 mod 1000?,770
bitwise_and,442,166,What is 442 AND 166?,162
lcm,606,276,What is the LCM of 606 and 276 mod 1000?,876
addition,282,131,What is 282 plus 131?,413
division,864,89,What is 864 // 89?,9
lcm,794,246,What is the LCM of 794 and 246 mod 1000?,662
gcd,111,951,What is the GCD of 111 and 951?,3
bitwise_and,68,489,What is 68 AND 489?,64
square_mod,636,92,What is 636^2 mod 92?,64
multiplication,436,733,What is 436 times 733 mod 1000?,588
gcd,430,456,What is the GCD of 430 and 456?,2
bitwise_and,10,372,What is 10 AND 372?,0
square_mod,961,100,What is 961^2 mod 100?,21
bitwise_xor,796,189,What is 796 XOR 189?,929
square_mod,544,49,What is 544^2 mod 49?,25
division,919,837,What is 919 // 837?,1
bitwise_and,944,111,What is 944 AND 111?,32
bitwise_xor,791,575,What is 791 XOR 575?,296
square_mod,287,258,What is 287^2 mod 258?,67
multiplication,62,614,What is 62 times 614 mod 1000?,68
division,820,376,What is 820 // 376?,2
gcd,498,515,What is the GCD of 498 and 515?,1
multiplication,539,889,What is 539 times 889 mod 1000?,171
gcd,499,978,What is the GCD of 499 and 978?,1
bitwise_or,179,549,What is 179 OR 549?,695
addition,152,57,What is 152 plus 57?,209
gcd,820,21,What is the GCD of 820 and 21?,1
gcd,39,172,What is the GCD of 39 and 172?,1
bitwise_or,507,612,What is 507 OR 612?,1023
bitwise_xor,912,724,What is 912 XOR 724?,324
modulo,417,172,What is 417 mod 172?,73
square_mod,898,89,What is 898^2 mod 89?,64
square_mod,948,494,What is 948^2 mod 494?,118
multiplication,588,684,What is 588 times 684 mod 1000?,192
modulo,605,104,What is 605 mod 104?,85
bitwise_xor,635,639,What is 635 XOR 639?,4
modulo,892,233,What is 892 mod 233?,193
bitwise_xor,875,579,What is 875 XOR 579?,296
bitwise_xor,658,928,What is 658 XOR 928?,306
modulo,806,261,What is 806 mod 261?,23
bitwise_and,976,881,What is 976 AND 881?,848
lcm,562,726,What is the LCM of 562 and 726 mod 1000?,6
multiplication,177,594,What is 177 times 594 mod 1000?,138
modulo,923,248,What is 923 mod 248?,179
bitwise_xor,223,222,What is 223 XOR 222?,1
lcm,179,816,What is the LCM of 179 and 816 mod 1000?,64
addition,992,633,What is 992 plus 633?,1625
bitwise_or,62,763,What is 62 OR 763?,767
bitwise_or,385,70,What is 385 OR 70?,455
square_mod,639,218,What is 639^2 mod 218?,7
square_mod,634,239,What is 634^2 mod 239?,197
multiplication,223,373,What is 223 times 373 mod 1000?,179
gcd,312,799,What is the GCD of 312 and 799?,1
multiplication,147,221,What is 147 times 221 mod 1000?,487
multiplication,994,881,What is 994 times 881 mod 1000?,714
addition,839,952,What is 839 plus 952?,1791
gcd,375,839,What is the GCD of 375 and 839?,1
gcd,719,136,What is the GCD of 719 and 136?,1
bitwise_and,154,805,What is 154 AND 805?,0
multiplication,909,291,What is 909 times 291 mod 1000?,519
lcm,924,105,What is the LCM of 924 and 105 mod 1000?,620
bitwise_and,571,134,What is 571 AND 134?,2
addition,794,136,What is 794 plus 136?,930
bitwise_xor,414,454,What is 414 XOR 454?,88
bitwise_or,358,495,What is 358 OR 495?,495
bitwise_or,369,90,What is 369 OR 90?,379
bitwise_or,282,440,What is 282 OR 440?,442
bitwise_or,366,342,What is 366 OR 342?,382
bitwise_and,490,430,What is 490 AND 430?,426
addition,311,228,What is 311 plus 228?,539
bitwise_xor,454,195,What is 454 XOR 195?,261
lcm,200,608,What is the LCM of 200 and 608 mod 1000?,200
division,685,14,What is 685 // 14?,48
bitwise_or,472,91,What is 472 OR 91?,475
bitwise_and,949,71,What is 949 AND 71?,5
addition,859,353,What is 859 plus 353?,1212
bitwise_or,527,939,What is 527 OR 939?,943
modulo,999,150,What is 999 mod 150?,99
bitwise_xor,97,591,What is 97 XOR 591?,558
gcd,397,850,What is the GCD of 397 and 850?,1
square_mod,923,231,What is 923^2 mod 231?,1
modulo,757,413,What is 757 mod 413?,344
modulo,870,811,What is 870 mod 811?,59
gcd,100,211,What is the GCD of 100 and 211?,1
bitwise_and,706,828,What is 706 AND 828?,512
lcm,748,772,What is the LCM of 748 and 772 mod 1000?,364
division,998,849,What is 998 // 849?,1
addition,246,425,What is 246 plus 425?,671
addition,862,97,What is 862 plus 97?,959
addition,778,512,What is 778 plus 512?,1290
bitwise_or,539,594,What is 539 OR 594?,603
division,933,413,What is 933 // 413?,2
multiplication,688,145,What is 688 times 145 mod 1000?,760
lcm,417,853,What is the LCM of 417 and 853 mod 1000?,701
gcd,446,430,What is the GCD of 446 and 430?,2
square_mod,829,825,What is 829^2 mod 825?,16
division,361,276,What is 361 // 276?,1
square_mod,913,122,What is 913^2 mod 122?,65
lcm,263,885,What is the LCM of 263 and 885 mod 1000?,755
addition,479,157,What is 479 plus 157?,636
multiplication,369,697,What is 369 times 697 mod 1000?,193
square_mod,529,205,What is 529^2 mod 205?,16
addition,62,429,What is 62 plus 429?,491
bitwise_or,38,863,What is 38 OR 863?,895
addition,653,702,What is 653 plus 702?,1355
modulo,196,166,What is 196 mod 166?,30
modulo,577,194,What is 577 mod 194?,189
bitwise_and,97,612,What is 97 AND 612?,96
gcd,400,859,What is the GCD of 400 and 859?,1
lcm,510,581,What is the LCM of 510 and 581 mod 1000?,310
modulo,901,219,What is 901 mod 219?,25
division,985,587,What is 985 // 587?,1
multiplication,842,379,What is 842 times 379 mod 1000?,118
square_mod,679,448,What is 679^2 mod 448?,49
bitwise_and,341,185,What is 341 AND 185?,17
gcd,530,791,What is the GCD of 530 and 791?,1
modulo,984,69,What is 984 mod 69?,18
bitwise_and,255,649,What is 255 AND 649?,137
addition,845,237,What is 845 plus 237?,1082
division,984,643,What is 984 // 643?,1
modulo,576,278,What is 576 mod 278?,20
bitwise_and,145,347,What is 145 AND 347?,17
addition,842,5,What is 842 plus 5?,847
addition,314,521,What is 314 plus 521?,835
square_mod,926,133,What is 926^2 mod 133?,25
addition,740,182,What is 740 plus 182?,922
addition,119,430,What is 119 plus 430?,549
gcd,517,621,What is the GCD of 517 and 621?,1
bitwise_or,221,681,What is 221 OR 681?,765
modulo,644,450,What is 644 mod 450?,194
addition,220,149,What is 220 plus 149?,369
bitwise_or,765,952,What is 765 OR 952?,1021
bitwise_or,552,360,What is 552 OR 360?,872
bitwise_or,738,929,What is 738 OR 929?,995
square_mod,655,474,What is 655^2 mod 474?,55
division,389,355,What is 389 // 355?,1
multiplication,692,314,What is 692 times 314 mod 1000?,288
square_mod,912,449,What is 912^2 mod 449?,196
bitwise_xor,330,88,What is 330 XOR 88?,274
square_mod,820,294,What is 820^2 mod 294?,22
division,801,364,What is 801 // 364?,2
addition,978,492,What is 978 plus 492?,1470
bitwise_or,131,400,What is 131 OR 400?,403
modulo,858,602,What is 858 mod 602?,256
bitwise_xor,372,258,What is 372 XOR 258?,118
addition,170,570,What is 170 plus 570?,740
modulo,878,671,What is 878 mod 671?,207
bitwise_or,491,239,What is 491 OR 239?,495
multiplication,452,609,What is 452 times 609 mod 1000?,268
bitwise_or,590,602,What is 590 OR 602?,606
division,248,141,What is 248 // 141?,1
bitwise_xor,483,190,What is 483 XOR 190?,349
bitwise_xor,367,886,What is 367 XOR 886?,537
bitwise_or,80,462,What is 80 OR 462?,478
bitwise_and,196,566,What is 196 AND 566?,4
gcd,740,549,What is the GCD of 740 and 549?,1
addition,117,30,What is 117 plus 30?,147
bitwise_and,204,305,What is 204 AND 305?,0
lcm,301,513,What is the LCM of 301 and 513 mod 1000?,413
bitwise_or,674,580,What is 674 OR 580?,742
bitwise_xor,805,444,What is 805 XOR 444?,665
bitwise_or,106,630,What is 106 OR 630?,638
division,824,72,What is 824 // 72?,11
division,368,344,What is 368 // 344?,1
bitwise_or,918,429,What is 918 OR 429?,959
gcd,692,712,What is the GCD of 692 and 712?,4
bitwise_or,4,466,What is 4 OR 466?,470
bitwise_and,602,501,What is 602 AND 501?,80
bitwise_or,447,64,What is 447 OR 64?,511
bitwise_or,125,542,What is 125 OR 542?,639
gcd,85,280,What is the GCD of 85 and 280?,5
modulo,267,72,What is 267 mod 72?,51
bitwise_xor,513,421,What is 513 XOR 421?,932
division,827,36,What is 827 // 36?,22
bitwise_or,878,31,What is 878 OR 31?,895
bitwise_xor,695,717,What is 695 XOR 717?,122
bitwise_xor,288,936,What is 288 XOR 936?,648
division,219,96,What is 219 // 96?,2
bitwise_or,623,574,What is 623 OR 574?,639
bitwise_xor,311,753,What is 311 XOR 753?,966
gcd,751,100,What is the GCD of 751 and 100?,1
bitwise_and,583,687,What is 583 AND 687?,519
division,737,90,What is 737 // 90?,8
bitwise_or,501,207,What is 501 OR 207?,511
bitwise_or,55,248,What is 55 OR 248?,255
bitwise_and,244,879,What is 244 AND 879?,100
square_mod,714,600,What is 714^2 mod 600?,396
modulo,761,197,What is 761 mod 197?,170
addition,352,223,What is 352 plus 223?,575
division,507,396,What is 507 // 396?,1
lcm,574,666,What is the LCM of 574 and 666 mod 1000?,142
square_mod,603,338,What is 603^2 mod 338?,259
multiplication,319,652,What is 319 times 652 mod 1000?,988
multiplication,409,618,What is 409 times 618 mod 1000?,762
bitwise_or,641,840,What is 641 OR 840?,969
multiplication,386,102,What is 386 times 102 mod 1000?,372
gcd,911,715,What is the GCD of 911 and 715?,1
multiplication,803,174,What is 803 times 174 mod 1000?,722
lcm,56,11,What is the LCM of 56 and 11 mod 1000?,616
bitwise_xor,450,384,What is 450 XOR 384?,66
lcm,133,575,What is the LCM of 133 and 575 mod 1000?,475
multiplication,487,263,What is 487 times 263 mod 1000?,81
lcm,479,171,What is the LCM of 479 and 171 mod 1000?,909
gcd,580,270,What is the GCD of 580 and 270?,10
gcd,404,162,What is the GCD of 404 and 162?,2
square_mod,930,597,What is 930^2 mod 597?,444
bitwise_or,736,364,What is 736 OR 364?,1004
bitwise_or,362,452,What is 362 OR 452?,494
bitwise_and,975,267,What is 975 AND 267?,267
multiplication,256,624,What is 256 times 624 mod 1000?,744
bitwise_xor,397,332,What is 397 XOR 332?,193
division,607,241,What is 607 // 241?,2
multiplication,118,2,What is 118 times 2 mod 1000?,236
multiplication,882,234,What is 882 times 234 mod 1000?,388
bitwise_or,330,777,What is 330 OR 777?,843
bitwise_xor,763,164,What is 763 XOR 164?,607
modulo,923,220,What is 923 mod 220?,43
bitwise_and,77,640,What is 77 AND 640?,0
square_mod,471,376,What is 471^2 mod 376?,1
addition,621,171,What is 621 plus 171?,792
bitwise_or,508,149,What is 508 OR 149?,509
bitwise_xor,730,78,What is 730 XOR 78?,660
square_mod,206,139,What is 206^2 mod 139?,41
bitwise_or,139,11,What is 139 OR 11?,139
modulo,791,741,What is 791 mod 741?,50
multiplication,751,281,What is 751 times 281 mod 1000?,31
bitwise_and,984,296,What is 984 AND 296?,264
addition,477,496,What is 477 plus 496?,973
bitwise_or,973,255,What is 973 OR 255?,1023
bitwise_or,783,938,What is 783 OR 938?,943
modulo,163,58,What is 163 mod 58?,47
bitwise_and,551,784,What is 551 AND 784?,512
division,321,184,What is 321 // 184?,1
modulo,648,438,What is 648 mod 438?,210
square_mod,477,103,What is 477^2 mod 103?,2
addition,14,309,What is 14 plus 309?,323
square_mod,846,72,What is 846^2 mod 72?,36
bitwise_xor,563,850,What is 563 XOR 850?,353
square_mod,291,162,What is 291^2 mod 162?,117
bitwise_xor,515,840,What is 515 XOR 840?,331
gcd,689,996,What is the GCD of 689 and 996?,1
division,336,264,What is 336 // 264?,1
modulo,657,392,What is 657 mod 392?,265
division,891,138,What is 891 // 138?,6
addition,757,468,What is 757 plus 468?,1225
modulo,729,167,What is 729 mod 167?,61
gcd,671,238,What is the GCD of 671 and 238?,1
multiplication,45,328,What is 45 times 328 mod 1000?,760
addition,192,320,What is 192 plus 320?,512
bitwise_or,240,646,What is 240 OR 646?,758
gcd,503,76,What is the GCD of 503 and 76?,1
modulo,374,222,What is 374 mod 222?,152
square_mod,466,20,What is 466^2 mod 20?,16
bitwise_xor,788,886,What is 788 XOR 886?,98
bitwise_and,501,668,What is 501 AND 668?,148
square_mod,717,584,What is 717^2 mod 584?,169
lcm,265,352,What is the LCM of 265 and 352 mod 1000?,280
addition,344,256,What is 344 plus 256?,600
gcd,621,539,What is the GCD of 621 and 539?,1
bitwise_and,403,604,What is 403 AND 604?,16
bitwise_and,870,904,What is 870 AND 904?,768
bitwise_or,411,756,What is 411 OR 756?,1023
square_mod,493,239,What is 493^2 mod 239?,225
lcm,653,613,What is the LCM of 653 and 613 mod 1000?,289
division,534,95,What is 534 // 95?,5
bitwise_or,803,87,What is 803 OR 87?,887
bitwise_xor,555,555,What is 555 XOR 555?,0
division,285,202,What is 285 // 202?,1
bitwise_or,242,531,What is 242 OR 531?,755
modulo,500,461,What is 500 mod 461?,39
bitwise_xor,991,813,What is 991 XOR 813?,242
square_mod,455,391,What is 455^2 mod 391?,186
square_mod,558,91,What is 558^2 mod 91?,53
addition,340,801,What is 340 plus 801?,1141
modulo,426,250,What is 426 mod 250?,176
addition,995,791,What is 995 plus 791?,1786
modulo,638,417,What is 638 mod 417?,221
modulo,273,165,What is 273 mod 165?,108
lcm,754,240,What is the LCM of 754 and 240 mod 1000?,480
multiplication,891,298,What is 891 times 298 mod 1000?,518
division,851,766,What is 851 // 766?,1
bitwise_and,553,321,What is 553 AND 321?,1
bitwise_or,427,762,What is 427 OR 762?,1019
lcm,346,336,What is the LCM of 346 and 336 mod 1000?,128
multiplication,470,944,What is 470 times 944 mod 1000?,680
modulo,438,331,What is 438 mod 331?,107
modulo,862,87,What is 862 mod 87?,79
lcm,900,46,What is the LCM of 900 and 46 mod 1000?,700
lcm,333,842,What is the LCM of 333 and 842 mod 1000?,386
addition,477,916,What is 477 plus 916?,1393
division,830,681,What is 830 // 681?,1
division,969,466,What is 969 // 466?,2
bitwise_xor,410,691,What is 410 XOR 691?,809
bitwise_or,71,154,What is 71 OR 154?,223
bitwise_xor,284,497,What is 284 XOR 497?,237
bitwise_xor,250,415,What is 250 XOR 415?,357
modulo,752,312,What is 752 mod 312?,128
bitwise_and,269,524,What is 269 AND 524?,12
bitwise_and,582,658,What is 582 AND 658?,514
bitwise_xor,737,846,What is 737 XOR 846?,431
square_mod,772,366,What is 772^2 mod 366?,136
division,977,507,What is 977 // 507?,1
division,870,234,What is 870 // 234?,3
addition,703,912,What is 703 plus 912?,1615
addition,957,840,What is 957 plus 840?,1797
square_mod,765,73,What is 765^2 mod 73?,57
square_mod,677,395,What is 677^2 mod 395?,129
bitwise_xor,522,420,What is 522 XOR 420?,942
multiplication,897,543,What is 897 times 543 mod 1000?,71
gcd,86,46,What is the GCD of 86 and 46?,2
division,339,74,What is 339 // 74?,4
bitwise_or,386,806,What is 386 OR 806?,934
bitwise_or,428,952,What is 428 OR 952?,956
bitwise_xor,975,972,What is 975 XOR 972?,3
addition,467,364,What is 467 plus 364?,831
multiplication,969,747,What is 969 times 747 mod 1000?,843
bitwise_and,757,861,What is 757 AND 861?,597
modulo,510,260,What is 510 mod 260?,250
lcm,467,767,What is the LCM of 467 and 767 mod 1000?,189
division,473,102,What is 473 // 102?,4
multiplication,950,476,What is 950 times 476 mod 1000?,200
square_mod,480,300,What is 480^2 mod 300?,0
square_mod,770,597,What is 770^2 mod 597?,79
division,491,235,What is 491 // 235?,2
modulo,637,104,What is 637 mod 104?,13
square_mod,612,338,What is 612^2 mod 338?,40
gcd,255,883,What is the GCD of 255 and 883?,1
bitwise_or,7,290,What is 7 OR 290?,295
addition,851,446,What is 851 plus 446?,1297
addition,246,888,What is 246 plus 888?,1134
gcd,536,77,What is the GCD of 536 and 77?,1
square_mod,856,819,What is 856^2 mod 819?,550
modulo,912,310,What is 912 mod 310?,292
gcd,188,375,What is the GCD of 188 and 375?,1
division,942,256,What is 942 // 256?,3
bitwise_xor,111,537,What is 111 XOR 537?,630
lcm,840,846,What is the LCM of 840 and 846 mod 1000?,440
bitwise_or,240,420,What is 240 OR 420?,500
addition,261,747,What is 261 plus 747?,1008
lcm,521,219,What is the LCM of 521 and 219 mod 1000?,99
square_mod,524,280,What is 524^2 mod 280?,176
division,746,684,What is 746 // 684?,1
square_mod,74,2,What is 74^2 mod 2?,0
division,513,464,What is 513 // 464?,1
bitwise_and,640,207,What is 640 AND 207?,128
multiplication,756,767,What is 756 times 767 mod 1000?,852
modulo,796,567,What is 796 mod 567?,229
division,683,509,What is 683 // 509?,1
bitwise_and,397,816,What is 397 AND 816?,256
modulo,262,211,What is 262 mod 211?,51
bitwise_xor,659,107,What is 659 XOR 107?,760
bitwise_xor,74,285,What is 74 XOR 285?,343
lcm,796,104,What is the LCM of 796 and 104 mod 1000?,696
multiplication,796,463,What is 796 times 463 mod 1000?,548
gcd,124,210,What is the GCD of 124 and 210?,2
multiplication,742,92,What is 742 times 92 mod 1000?,264
gcd,325,3,What is the GCD of 325 and 3?,1
gcd,539,611,What is the GCD of 539 and 611?,1
square_mod,850,80,What is 850^2 mod 80?,20
bitwise_or,953,454,What is 953 OR 454?,1023
multiplication,596,496,What is 596 times 496 mod 1000?,616
modulo,561,133,What is 561 mod 133?,29
lcm,525,837,What is the LCM of 525 and 837 mod 1000?,475
modulo,979,803,What is 979 mod 803?,176
gcd,736,583,What is the GCD of 736 and 583?,1
lcm,677,551,What is the LCM of 677 and 551 mod 1000?,27
square_mod,50,26,What is 50^2 mod 26?,4
lcm,912,361,What is the LCM of 912 and 361 mod 1000?,328
bitwise_xor,139,828,What is 139 XOR 828?,951
addition,619,903,What is 619 plus 903?,1522
lcm,19,387,What is the LCM of 19 and 387 mod 1000?,353
division,727,415,What is 727 // 415?,1
bitwise_and,958,544,What is 958 AND 544?,544
bitwise_xor,930,396,What is 930 XOR 396?,558
division,878,276,What is 878 // 276?,3
division,492,156,What is 492 // 156?,3
division,895,34,What is 895 // 34?,26
lcm,893,883,What is the LCM of 893 and 883 mod 1000?,519
square_mod,217,27,What is 217^2 mod 27?,1
lcm,469,331,What is the LCM of 469 and 331 mod 1000?,239
modulo,697,436,What is 697 mod 436?,261
bitwise_and,120,697,What is 120 AND 697?,56
division,644,26,What is 644 // 26?,24
bitwise_and,65,742,What is 65 AND 742?,64
addition,722,994,What is 722 plus 994?,1716
bitwise_or,896,967,What is 896 OR 967?,967
lcm,888,953,What is the LCM of 888 and 953 mod 1000?,264
bitwise_and,859,235,What is 859 AND 235?,75
division,608,558,What is 608 // 558?,1
square_mod,416,361,What is 416^2 mod 361?,137
lcm,844,180,What is the LCM of 844 and 180 mod 1000?,980
bitwise_xor,836,957,What is 836 XOR 957?,249
lcm,887,817,What is the LCM of 887 and 817 mod 1000?,679
bitwise_or,76,263,What is 76 OR 263?,335
modulo,556,151,What is 556 mod 151?,103
division,506,422,What is 506 // 422?,1
lcm,311,245,What is the LCM of 311 and 245 mod 1000?,195
division,267,88,What is 267 // 88?,3
bitwise_xor,679,539,What is 679 XOR 539?,188
modulo,611,467,What is 611 mod 467?,144
bitwise_or,720,920,What is 720 OR 920?,984
bitwise_and,767,383,What is 767 AND 383?,127
lcm,858,709,What is the LCM of 858 and 709 mod 1000?,322
division,647,133,What is 647 // 133?,4
multiplication,541,868,What is 541 times 868 mod 1000?,588
lcm,379,665,What is the LCM of 379 and 665 mod 1000?,35
division,842,834,What is 842 // 834?,1
division,729,573,What is 729 // 573?,1
modulo,430,414,What is 430 mod 414?,16
multiplication,614,182,What is 614 times 182 mod 1000?,748
gcd,19,480,What is the GCD of 19 and 480?,1
modulo,283,217,What is 283 mod 217?,66
gcd,336,470,What is the GCD of 336 and 470?,2
lcm,924,124,What is the LCM of 924 and 124 mod 1000?,644
division,877,745,What is 877 // 745?,1
bitwise_or,589,709,What is 589 OR 709?,717
square_mod,462,274,What is 462^2 mod 274?,272
division,935,182,What is 935 // 182?,5
modulo,563,512,What is 563 mod 512?,51
square_mod,961,697,What is 961^2 mod 697?,693
bitwise_xor,463,233,What is 463 XOR 233?,294
addition,65,640,What is 65 plus 640?,705
bitwise_xor,131,265,What is 131 XOR 265?,394
addition,584,3,What is 584 plus 3?,587
gcd,594,910,What is the GCD of 594 and 910?,2
division,645,104,What is 645 // 104?,6
lcm,357,400,What is the LCM of 357 and 400 mod 1000?,800
gcd,214,366,What is the GCD of 214 and 366?,2
gcd,594,192,What is the GCD of 594 and 192?,6
bitwise_or,462,66,What is 462 OR 66?,462
square_mod,737,50,What is 737^2 mod 50?,19
square_mod,464,4,What is 464^2 mod 4?,0
bitwise_and,732,405,What is 732 AND 405?,148
bitwise_and,734,48,What is 734 AND 48?,16
gcd,6,74,What is the GCD of 6 and 74?,2
lcm,435,853,What is the LCM of 435 and 853 mod 1000?,55
modulo,443,70,What is 443 mod 70?,23
addition,313,855,What is 313 plus 855?,1168
square_mod,732,58,What is 732^2 mod 58?,20
addition,551,245,What is 551 plus 245?,796
division,631,609,What is 631 // 609?,1
modulo,357,239,What is 357 mod 239?,118
addition,963,361,What is 963 plus 361?,1324
bitwise_xor,969,193,What is 969 XOR 193?,776
multiplication,220,933,What is 220 times 933 mod 1000?,260
lcm,468,856,What is the LCM of 468 and 856 mod 1000?,152
addition,483,632,What is 483 plus 632?,1115
bitwise_xor,970,455,What is 970 XOR 455?,525
bitwise_xor,70,86,What is 70 XOR 86?,16
modulo,283,196,What is 283 mod 196?,87
lcm,313,72,What is the LCM of 313 and 72 mod 1000?,536
square_mod,530,294,What is 530^2 mod 294?,130
bitwise_or,677,119,What is 677 OR 119?,759
square_mod,71,68,What is 71^2 mod 68?,9
bitwise_or,5,28,What is 5 OR 28?,29
modulo,389,16,What is 389 mod 16?,5
multiplication,44,112,What is 44 times 112 mod 1000?,928
bitwise_xor,983,93,What is 983 XOR 93?,906
multiplication,113,807,What is 113 times 807 mod 1000?,191
square_mod,827,787,What is 827^2 mod 787?,26
bitwise_xor,843,907,What is 843 XOR 907?,192
gcd,820,407,What is the GCD of 820 and 407?,1
bitwise_or,377,996,What is 377 OR 996?,1021
lcm,812,226,What is the LCM of 812 and 226 mod 1000?,756
bitwise_and,146,746,What is 146 AND 746?,130
square_mod,482,37,What is 482^2 mod 37?,1
multiplication,751,248,What is 751 times 248 mod 1000?,248
division,944,747,What is 944 // 747?,1
bitwise_and,714,722,What is 714 AND 722?,706
bitwise_and,118,165,What is 118 AND 165?,36
multiplication,355,563,What is 355 times 563 mod 1000?,865
multiplication,728,249,What is 728 times 249 mod 1000?,272
bitwise_or,822,495,What is 822 OR 495?,1023
multiplication,234,83,What is 234 times 83 mod 1000?,422
gcd,699,306,What is the GCD of 699 and 306?,3
bitwise_or,558,178,What is 558 OR 178?,702
multiplication,825,858,What is 825 times 858 mod 1000?,850
division,875,345,What is 875 // 345?,2
bitwise_and,520,151,What is 520 AND 151?,0
bitwise_or,298,511,What is 298 OR 511?,511
bitwise_xor,760,438,What is 760 XOR 438?,846
division,836,566,What is 836 // 566?,1
multiplication,480,227,What is 480 times 227 mod 1000?,960
bitwise_xor,905,74,What is 905 XOR 74?,963
addition,245,31,What is 245 plus 31?,276
square_mod,646,141,What is 646^2 mod 141?,97
bitwise_xor,718,738,What is 718 XOR 738?,44
addition,102,580,What is 102 plus 580?,682
gcd,492,281,What is the GCD of 492 and 281?,1
gcd,493,586,What is the GCD of 493 and 586?,1
bitwise_xor,416,692,What is 416 XOR 692?,788
division,514,371,What is 514 // 371?,1
bitwise_xor,781,706,What is 781 XOR 706?,463
bitwise_xor,360,316,What is 360 XOR 316?,84
multiplication,769,320,What is 769 times 320 mod 1000?,80
lcm,695,303,What is the LCM of 695 and 303 mod 1000?,585
lcm,478,506,What is the LCM of 478 and 506 mod 1000?,934
lcm,506,560,What is the LCM of 506 and 560 mod 1000?,680
lcm,946,148,What is the LCM of 946 and 148 mod 1000?,4
bitwise_xor,598,952,What is 598 XOR 952?,494
division,545,233,What is 545 // 233?,2
gcd,829,386,What is the GCD of 829 and 386?,1
multiplication,143,162,What is 143 times 162 mod 1000?,166
bitwise_or,819,781,What is 819 OR 781?,831
bitwise_or,113,50,What is 113 OR 50?,115
multiplication,351,54,What is 351 times 54 mod 1000?,954
multiplication,150,280,What is 150 times 280 mod 1000?,0
bitwise_and,263,832,What is 263 AND 832?,256
modulo,853,530,What is 853 mod 530?,323
modulo,757,393,What is 757 mod 393?,364
gcd,659,992,What is the GCD of 659 and 992?,1
lcm,688,430,What is the LCM of 688 and 430 mod 1000?,440
bitwise_or,333,601,What is 333 OR 601?,861
bitwise_or,155,105,What is 155 OR 105?,251
modulo,459,218,What is 459 mod 218?,23
bitwise_or,347,398,What is 347 OR 398?,479
lcm,118,636,What is the LCM of 118 and 636 mod 1000?,524
addition,788,713,What is 788 plus 713?,1501
bitwise_and,374,712,What is 374 AND 712?,64
multiplication,371,608,What is 371 times 608 mod 1000?,568
bitwise_xor,90,846,What is 90 XOR 846?,788
lcm,928,869,What is the LCM of 928 and 869 mod 1000?,432
gcd,83,614,What is the GCD of 83 and 614?,1
bitwise_xor,795,110,What is 795 XOR 110?,885
square_mod,716,328,What is 716^2 mod 328?,320
bitwise_or,914,110,What is 914 OR 110?,1022
bitwise_xor,374,667,What is 374 XOR 667?,1005
multiplication,529,477,What is 529 times 477 mod 1000?,333
division,750,711,What is 750 // 711?,1
multiplication,634,895,What is 634 times 895 mod 1000?,430
bitwise_xor,246,494,What is 246 XOR 494?,280
modulo,777,475,What is 777 mod 475?,302
modulo,490,359,What is 490 mod 359?,131
bitwise_and,310,546,What is 310 AND 546?,34
modulo,364,191,What is 364 mod 191?,173
bitwise_or,576,602,What is 576 OR 602?,602
square_mod,230,131,What is 230^2 mod 131?,107
square_mod,908,280,What is 908^2 mod 280?,144
square_mod,940,301,What is 940^2 mod 301?,165
bitwise_or,224,510,What is 224 OR 510?,510
modulo,249,170,What is 249 mod 170?,79
gcd,891,47,What is the GCD of 891 and 47?,1
square_mod,661,119,What is 661^2 mod 119?,72
bitwise_xor,371,306,What is 371 XOR 306?,65
gcd,484,874,What is the GCD of 484 and 874?,2
addition,530,410,What is 530 plus 410?,940
multiplication,874,438,What is 874 times 438 mod 1000?,812
multiplication,136,691,What is 136 times 691 mod 1000?,976
bitwise_or,192,538,What is 192 OR 538?,730
bitwise_and,491,935,What is 491 AND 935?,419
division,704,169,What is 704 // 169?,4
bitwise_xor,290,778,What is 290 XOR 778?,552
addition,209,95,What is 209 plus 95?,304
bitwise_or,679,330,What is 679 OR 330?,1007
addition,153,67,What is 153 plus 67?,220
addition,219,155,What is 219 plus 155?,374
gcd,193,171,What is the GCD of 193 and 171?,1
square_mod,346,96,What is 346^2 mod 96?,4
bitwise_or,16,69,What is 16 OR 69?,85
modulo,746,206,What is 746 mod 206?,128
gcd,66,589,What is the GCD of 66 and 589?,1
gcd,592,673,What is the GCD of 592 and 673?,1
modulo,930,503,What is 930 mod 503?,427
square_mod,671,551,What is 671^2 mod 551?,74
bitwise_xor,66,988,What is 66 XOR 988?,926
bitwise_xor,993,900,What is 993 XOR 900?,101
bitwise_or,377,662,What is 377 OR 662?,1023
gcd,828,638,What is the GCD of 828 and 638?,2
bitwise_or,201,889,What is 201 OR 889?,1017
bitwise_or,296,850,What is 296 OR 850?,890
bitwise_or,937,931,What is 937 OR 931?,939
modulo,346,12,What is 346 mod 12?,10
bitwise_or,835,613,What is 835 OR 613?,871
bitwise_or,723,629,What is 723 OR 629?,759
bitwise_and,847,208,What is 847 AND 208?,64
multiplication,386,801,What is 386 times 801 mod 1000?,186
division,804,754,What is 804 // 754?,1
bitwise_or,700,293,What is 700 OR 293?,957
lcm,787,254,What is the LCM of 787 and 254 mod 1000?,898
bitwise_and,38,332,What is 38 AND 332?,4
bitwise_or,240,529,What is 240 OR 529?,753
